Date,Baseline,Linear_Reg,ARIMA,Real_Data
2020-01-01,182415,170857.66226962954,150764.13264608063,169437
2020-01-02,191477,256021.7997556836,204327.57788126724,162141
2020-01-03,216037,252731.30418629787,213861.84876070017,183477
2020-01-04,227771,237581.8016352988,210872.2686918228,182752
2020-01-05,228531,208036.7515565349,189021.1620257865,164399
2020-01-06,201640,227246.0921424887,203619.78912804896,179515
2020-01-07,220318,240172.33069854096,217483.0070079016,201520
2020-01-08,229674,249063.21766561156,220075.63355265788,217100
2020-01-09,247415,265163.29692555766,232955.89066117367,231684
2020-01-10,271339,259767.13442168455,237293.69074845905,228201
2020-01-11,280547,243188.42735184767,228703.1728104813,217503
2020-01-12,254505,211784.0836586124,201374.92366363312,186745
2020-01-13,218452,231780.99214558856,213739.4505419561,209210
2020-01-14,235410,246213.38870604525,225651.7584317867,217722
2020-01-15,257539,255474.16818417137,226316.24527315656,217496
2020-01-16,262613,265912.6770140293,237849.9142611062,239657
2020-01-17,273784,260343.9011138673,240954.68659009557,243682
2020-01-18,257870,243648.0340877488,231293.9209087616,190158
2020-01-19,228108,212091.2736090116,203104.198455882,175831
2020-01-20,196215,159730.86975948457,172427.39113371918,161956
2020-01-21,185125,246708.60830738637,226436.21868454045,213823
2020-01-22,245120,255999.70996113744,226745.48850545828,221897
2020-01-23,251900,265974.1079269928,237957.35961884627,232096
2020-01-24,273840,260391.18193305735,240820.21087074213,233291
2020-01-25,282610,243685.71064444527,231035.87226805888,223220
2020-01-26,261473,212116.45570204625,202878.896711409,188185
2020-01-27,212960,226246.3885262497,214574.4237355307,189786
2020-01-28,232331,246749.2042515484,225892.2745757784,215813
2020-01-29,250870,256042.79158507715,226137.12942310996,227420
2020-01-30,266698,265979.14376544853,237216.3168805324,242994
2020-01-31,272753,260395.0578085085,240017.0578375401,236085
2020-02-01,287591,246684.55634033127,230278.2641848124,211589
2020-02-02,257992,215114.2771562669,202311.44502639576,193723
2020-02-03,215283,234694.79793703364,213903.16316607865,194452
2020-02-04,228077,249748.28926609267,225119.4405252864,216040
2020-02-05,247896,259042.08036481403,225351.4188673308,231670
2020-02-06,271794,268975.31371754024,236332.2022906498,242736
2020-02-07,270216,263391.1326718896,239102.7866175937,252398
2020-02-08,282981,246930.38863794465,229438.62999109612,219589
2020-02-09,270057,215360.02549101345,201687.8251273401,182474
2020-02-10,215885,235387.3617123157,213187.2734212738,211573
2020-02-11,230850,249994.1411820064,224311.8748616508,220135
2020-02-12,232776,259287.94898451,224540.0576159844,236425
2020-02-13,263170,269220.9266693414,235429.24145680168,246516
2020-02-14,266154,263636.7378287328,238175.4868044346,258277
2020-02-15,252116,246950.5408980735,228590.38579311105,202201
2020-02-16,235188,215380.1708682325,201058.3308000649,165867
2020-02-17,207725,163022.26135172532,170424.82233792805,148845
2020-02-18,189365,250014.295050358,223503.65422673392,190383
2020-02-19,230755,259308.10422216484,223729.65213295064,216938
2020-02-20,236865,269241.06094845675,234529.19382956688,237931
2020-02-21,248598,263656.87146885146,237252.32030370508,237185
2020-02-22,259233,246952.19289251132,227746.3691621929,209729
2020-02-23,248235,215381.8222984394,200431.76368615337,179707
2020-02-24,204818,229511.9595971906,211753.3476355464,197782
2020-02-25,230462,250015.94717663096,222700.70927528647,226546
2020-02-26,258562,259309.7564606873,222924.82053590423,231329
2020-02-27,266083,269242.7114688895,233635.81584637045,255937
2020-02-28,275697,263658.521936902,236336.23350942245,250820
2020-02-29,277243,246952.328315814,226908.7760502185,230267
